title;composition;calorie;protein;fat;carbohydrate;categoty;barcode
Сыр мягкий President Камамбер с белой плесенью 45%, 125г;Молоко нормализованное, соль, закваска (термофильные и мезофильные молочнокислые микроорганизмы), молокосвертывающий ферментный препарат микробного происхождения, поверхностная микрофлора (Penicillium Candidum, Geotrichum Candidum).;244;17;19.5;0;Молоко, сыр, яйца;Неизвестно
Сыр White Cheese From Zhukovka Камамбер с белой плесенью 50%, 125г;Молоко нормализованное, соль пищевая, молокосвертывающий фермент - препарат животного происхождения, заквасочная культура (термофильные и мезофильные молочнокислые микроорганизмы), культура белой плесени Penicillium candidum, уплотнитель - хлорид кальция.;279;18;23;0;Молоко, сыр, яйца;Неизвестно
Сыр Камамбер с белой плесенью 50% Зелёная Линия, 150г;Цельное пастеризованное молоко, соль поваренная пищевая, закваска бактериальная мезофильных и термофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат животного происхождения, плесневая культура penicillium candidum.;290;19;23.6;0.4;Молоко, сыр, яйца;Неизвестно
Сыр мягкий President Бри с белой плесенью 60%, 200г;Молоко нормализованное, соль, закваска из термофильных микроорганизмов, молокосвертывающий ферментный препарат микробного происхождения, поверхностная микрофлора (Penicillium Candidum, GTeotrichum candidum), регулятор кислотности - Е575, уплотнитель хлорид кальция.;360;17;32;0;Молоко, сыр, яйца;Неизвестно
Сыр с голубой плесенью 50% Маркет Перекрёсток, 100г;Молоко пастеризованное, соль поваренная пищевая, уплотнитель хлорид кальция, молокосвертывающий ферментный препарат микробного происхождения, закваска мезофильных микроорганизмов, плесневая культура penicillium roqueforti.;353;20.5;28.4;3.8;Молоко, сыр, яйца;Неизвестно
Сыр Бри с белой плесенью 60% Маркет, 125г;Молоко нормализованное, соль, закваска (термофильные и мезофильные молочнокислые микроорганизмы), культуры белых плесеней (penicillium candidum, geotrichum candidum), культура молочных дрожжей (debaryomyces hansenii), молокосвертывающий ферментный препарат микробного происхождения.;338;17.1;30;0;Молоко, сыр, яйца;Неизвестно
Сыр Камамбер с белой плесенью 45% Маркет, 125г;Молоко нормализованное, соль, закваска (термофильные и мезофильные молочнокислые микроорганизмы), культуры белых плесеней (penicillium candidum, geotrichum candidum), культура молочных дрожжей (debaryomyces hansenii), культура бревибактерий (brevibacterium linens), молокосвертывающий ферментный препарат микробного происхождения.;239;17;19;0;Молоко, сыр, яйца;Неизвестно
Сыр Grandblu Сливочный с голубой плесенью 56%, 100г;Пастеризованное молоко, соль пищевая, уплотнитель: хлорид кальция, плесневые грибы Penicilinum Roqueforti, с использованием бактериальной закваски молочнокислых мезофильных микроорганизмов и молокосвёртывающего ферментного препарата животного происхождения.;353;18;31;0;Молоко, сыр, яйца;Неизвестно
Брынза Углече Поле Традиционная слабосолёная рассольная 40%, 250г;Молоко цельное пастеризованное коровье, соль поваренная Экстра, молокосвертывающий препарат животного происхождения, бактериальный концентрат (мезофильные молочнокислые бактерии).;255.6;23.4;18;0;Молоко, сыр, яйца;Неизвестно
Сыр Предгорье Кавказа Адыгейский Халяль 45%, 300г;Молоко пастеризованное, сыворотка молочная, соль пищевая.;240;19.5;18;0;Молоко, сыр, яйца;Неизвестно
Сыр Углече Поле Моцарелла 45%, 130г;Молоко нормализованное пастеризованное органический продукт, с использованием заквасочных термофильных культур прямого внесения, молокосвёртывающего ферментного препарата животного происхождения, рассол (вода питьевая, соль морская пищевая).;250;16;20;1.5;Молоко, сыр, яйца;Неизвестно
Сыр рассольный Kesidis Dairy Халлуми для гриля с вялеными томатами 40%, 270г;Молоко коровье нормализованное пастеризованное, лиофилизированная концентрированная молочная закваска мезофильных и термофильных молочнокислых микроорганизмов, ферментный препарат микробного происхождения, томаты вяленые, соль пищевая.;311;22;24;1.8;Молоко, сыр, яйца;Неизвестно
Сыр Pinar Сузме рассольный 45%, 250г;Нормализованное молоко, пищевая соль, бактериальная закваска термофильных и мезофильных молочнокислых микроорганизмов, уплотнитель: хлорид кальция, молокосвертывающий ферментный препарат животного происхождения.;207;11;16;4.8;Молоко, сыр, яйца;Неизвестно
Сыр рассольный Kesidis Dairy Халлуми для гриля традиционный 40%, 270г;Молоко коровье нормализованное пастеризованное, лиофилизированная концентрированная молочная закваска мезофильных и термофильных молочнокислых микроорганизмов, ферментный препарат микробного происхождения, соль пищевая.;311;22;24;1.8;Молоко, сыр, яйца;Неизвестно
Ассорти сыра Coeur Du Nord Шевр из козьего молока с травами паприкой и томатами 45%, 250г;Сыр «Шевр» с прованскими травами (молоко козье цельное пастеризованное, смесь пряностей «Прованские травы» (розмарин, тимьян, базилик), соль поваренная пищевая экстра, закваска на чистых культурах мезофильных микроорганизмов, сычужный фермент животного происхождения), сыр «Шевр» с паприкой (молоко козье цельное пастеризованное, паприка красная и зеленая сушеная, соль поваренная пищевая экстра, закваска на чистых культурах мезофильных микроорганизмов, сычужный фермент животного происхождения), сыр «Шевр» с томатами (молоко козье цельное пастеризованное, томаты сушеные, соль поваренная пищевая экстра, закваска на чистых культурах мезофильных микроорганизмов, сычужный фермент животного происхождения.), сыр «Шевр» (молоко козье цельное пастеризованное, соль поваренная пищевая экстра, закваска на чистых культурах мезофильных микроорганизмов, сычужный фермент животного происхождения), масло подсолнечное рафинированное дезодорированное с добавлением рафинированного оливкового масла.;273;22.8;20.3;0;Молоко, сыр, яйца;Неизвестно
Сыр рассольный Kesidis Dairy Фета По-гречески 45%, 200г;Нормализованное пастеризованное коровье, козье молоко, закваска молочнокислых микроорганизмов, сычужный фермент животного происхождения, соль пищевая.;296;17.6;25;0.2;Молоко, сыр, яйца;Неизвестно
Сыр Адыгейский 40% Маркет Перекрёсток;Молоко нормализованное пастеризованное, сыворотка молочная подсырная, соль пищевая.;220;19;16;0;Молоко, сыр, яйца;Неизвестно
Сыр Сиртаки Для Греческого Салата Сливочный рассольный 50%, 200г;пастеризованное молоко, соль пищевая, регулятор кислотности: глюконо-дельта-лактон, молокосвертывающий фермент микробного происхождения;243;7.3;20;8.5;Молоко, сыр, яйца;Неизвестно
Сыр мягкий Bonfesto Моцарелла 1 шарик 45%, 100г;Молоко нормализованное пастеризованное, регулятор кислотности – лимонная кислота, соль (содержит антислеживающий агент ферроцианид калия), молокосвертывающий фермент микробного происхождения, закваска прямого внесения защитных микроорганизмов: рассол (вода питьевая, соль (содержит антислеживающий агент ферроцианид калия), уплотнитель – хлорид кальция.;240;15.1;17.6;0;Молоко, сыр, яйца;Неизвестно
Сыр Предгорье Кавказа Сулугуни 45%, 300г;Молоко пастеризованное, закваска мезофильных и термофильных молочнокислых микроорганизмов, соль поваренная пищевая, молокосвертывающий фермантный препарат животного происхождения.;263.2;18.1;21.1;0;Молоко, сыр, яйца;Неизвестно
Сыр Спагетти 40% Маркет Перекрёсток, 80г;Молоко нормализованное пастеризованное, пищевая соль, молокосвертывающий ферментный препарат микробного происхождения, закваска термофильных молочнокислых микроорганизмов.;297;22.6;23;0;Молоко, сыр, яйца;Неизвестно
Сыр Unagrande Моцарелла без лактозы для сэндвичей 45%, 280г;Молоко пастеризованное, соль пищевая, с использованием термофильных бактериальных заквасок, молокосвертывающего ферментного препарата микробиального происхождения.;297;23;22;0;Молоко, сыр, яйца;Неизвестно
Сыр Сулугуни Маркет 45%;Пастеризованное нормализованное молоко, закваска термофильных мо-лочнокислых микроорганизмов, молокосвертывающий ферментный препарат микробного происхождения, соль пищевая (содержит агент ан-тислеживающий е536), уплотнитель — хлорид кальция.;280;22;21;0;Молоко, сыр, яйца;Неизвестно
Сыр Умалат Сулугуни палочки 45%, 120г;Молоко пастеризованное, соль пищевая, с использованием термофильных бактериальных заквасок, молокосвертывающего ферментного препарата микробиального происхождения.;263.2;23.5;22.5;0;Молоко, сыр, яйца;Неизвестно
Сыр Cheese Gallery Моцарелла тертый 40%, 150г;Молоко пастеризованное, соль, молокосвертывающий ферментный препарат животного происхождения, бактериальная закваска мезофильных и термофильных молочнокислых микроорганизмов, уплотнитель хлорид кальция, консервант¶сорбат калия.;264;22.8;19.2;0;Молоко, сыр, яйца;Неизвестно
Сыр Mlekara Sabac Сербская брынза 45%, 515г;Пастеризованное молоко, соль пищевая поваренная, закваска лиофилизированных культур, ферментный препарат молокосвертывающий микробиологического происхождения.;197;11.9;15.5;2.6;Молоко, сыр, яйца;Неизвестно
Сыр Фетакса мягкий в рассоле легкий 28%, 275г;Молоко пастеризованное нормализованное, молокосвертывающий ферментный препарат микробного происхождения, бактериальная закваска мезофильных и термофильных молочнокислых микроорганизмов, рассол (вода питьевая, соль).;144;14;8;4;Молоко, сыр, яйца;Неизвестно
Сыр Dr.Milk Сербская Брынза мягкий рассольный 45%, 165г;Молоко пастеризованное нормализованное, соль поваренная пищевая, отвердитель хлорид кальция, закваска( мезофильные и термофильные молочнокислые микроорганизмы), молокосвертывающий фермент микробиологического происхождения.;197;11.8;15.5;2.6;Молоко, сыр, яйца;Неизвестно
Сыр Unagrande Моцарелла в воде Чильеджина без лактозы 45%, 125г;Молоко пастеризованное высшего сорта, соль пищевая, ферменты Mauro Casalli №3 (термофильные бактериальные закваски, молокосвертывающий ферментный препарат микробиального происхождения). Заливка: вода питьевая, соль пищевая.;297;23.5;22.5;0;Молоко, сыр, яйца;Неизвестно
Сыр Сулугуни 45% Зелёная Линия, 280г;Молоко пастеризованное, соль пищевая, термофильные бактериальные закваски, молокосвертывающий ферментный препарат микробиального происхождения.;279;21.9;21.2;0;Молоко, сыр, яйца;Неизвестно
Сыр Galbani Моцарелла мини 45%, 100г;Нормализованное молоко, регулятор кислотности лимонная кислота, молокосвертывающий ферментный препарат микробного происхождения, рассол (вода питьевая, соль).;242;18;18;2;Молоко, сыр, яйца;Неизвестно
Сыр мягкий рассольный Савушкин Продукт Фета Sveza 45%, 200г;Молоко нормализованное пастеризованное, закваска на основе молочнокислых термофильных и мезофмильных бактерий, соль (содержит агент антислеживающий -ферроцианид калия), уплотнитель хлорид кальция, ферментный препарат животного происхождения.;226.5;15;18.5;0;Молоко, сыр, яйца;Неизвестно
Сыр Умалат Сулугуни 45%, 280г;Молоко пастеризованное, соль пищевая, с использованием заквасочных микрокультур, ферментного препарата микробного происхождения.;297;23.5;22.5;0;Молоко, сыр, яйца;Неизвестно
Сыр мягкий Фетакса в рассоле 45%, 250г;Молоко пастеризованное нормализованное, молокосвертывающий ферментный препарат микробного происхождения, бактериальная закваска мезофильных и термофильных молочнокислых микроорганизмов, рассол (вода питьевая, соль).;201;11;16.5;2;Молоко, сыр, яйца;Неизвестно
Сыр мягкий Bonfesto Моцарелла мини 12 шариков 45%, 100г;Молоко нормализованное пастеризованное, регулятор кислотности – лимонная кислота, соль (содержит антислеживающий агент – ферроцианид калия), молокосвертывающий фермент микробного происхождения, закваска прямого внесения защитных микроорганизмов, рассол (вода питьевая, соль (содержит антислеживающий агент – ферроцианид), уплотнитель – хлорид кальция).;240;18.3;18.3;0;Молоко, сыр, яйца;Неизвестно
Сыр рассольный Сиртаки 35%, 200г;Молоко пастеризованное, молокосвертывающий фермент животного происхождения, регулятор кислотности Е 576.;225;10;17;8;Молоко, сыр, яйца;Неизвестно
Сыр Mlekara Sabac Сербская Брынза мягкий 45%, 220г;Пастеризованное молоко, соль поваренная пищевая, закваска лиофилизированных культур, молокосвертывающий ферментный препарат микробного происхождения. Без процесса созревания.;197;11.8;15.5;2.6;Молоко, сыр, яйца;Неизвестно
Продукт рассольный Сиртаки Original для греческого салата 55%, 200г;Пастеризованное обезжиренное молоко, растительный жир, сухое обезжиренное молоко: молочно-белковый концентрат, соль пищевая, регулятор кислотности: глюконо-дельта-лактон, комплексная пищевая добавка. змульгатор (E481), загуститель (Е1442), желатин, стабилизатор (гуаровая камедь), молокосвертывающий фермент микробного происхождения.;235;7;22;2;Молоко, сыр, яйца;Неизвестно
Сыр твёрдый Margot Fromages Hartkase Gohl 49%;Пастеризованное молоко, соль, сычужный фермент животного происхождения, молочнокислые ферменты.;398;27;32;0.4;Молоко, сыр, яйца;Неизвестно
Сыр Le Superbe Раклет нарезка 49%, 200г;Цельное пастеризованное коровье молоко, соль, термофильная закваска, сычужный фермент (животного происхождения).;356;26;28;0;Молоко, сыр, яйца;Неизвестно
Сыр Pitterina Tesoro твердый 50%, 200г;Молоко натуральное пастеризованное, с использованием закваски и ферментов, соль, уплотнитель хлорид кальция.;398;26.5;28.9;0;Молоко, сыр, яйца;Неизвестно
Сыр твёрдый Pitterina Sante 50%, 200г;Молоко натуральное пастеризованное, с использованием закваски и ферментов, соль, уплотнитель хлорид кальция.;396;25.6;28.9;0;Молоко, сыр, яйца;Неизвестно
Сыр Casa Margot Золото Швейцарии, 50%, 150г;-;430;25;36;0.4;Молоко, сыр, яйца;Неизвестно
Сыр Casa Margot Жура Монтань 52%, 150г;-;387;27;32;0;Молоко, сыр, яйца;Неизвестно
Сыр Сальково Джерсики с лемонграссом 45%, 150г;-;328;26;32;1.4;Молоко, сыр, яйца;Неизвестно
Сыр Сальково Джерсики с розмарином 45%, 150г;-;328;26;32;1.4;Молоко, сыр, яйца;Неизвестно
Набор конфет Craft&Eco Food шоколадные с сыром чеддер и качотта, 76г;Белая полусфера с сыром чеддер: сыр чеддер (молоко коровье цельное, хлорид кальция, закваска кисломолочных микроорганизмов), сливки 33% жирности (сливки нормализованные, стабилизатор каррагинан), тримолин (инвертный сахар кристаллизованный), сорбит, белый шоколад Callebaut (сахар, масло какао, сухое цельное молоко, эмульгатор соевый лецитин, натуральный ароматизатор ваниль), темный шоколад Callebaut (масло какао, сахар, какао тертое, эмульгатор соевый лецитин, натуральный ароматизатор ваниль), краситель Е171, Сердце красное с брызгами с сыром качотта: сыр качотта (молоко коровье цельное, хлорид кальция, закваска кисломолочных микроорганизмов), сливки 33% жирности (сливки нормализованные, стабилизатор каррагинан), тримолин (инвертный сахар кристалл изованный), сорбит, белый шоколад Callebaut (сахар, масло какао, сухое цельное молоко, эмульгатор соевый лецитин, натуральный ароматизатор ваниль), молочный шоколад Callebaut (масло какао, сахар, сухое цельное молоко, какао тертое, эмульгатор соевый лецитин, натуральный ароматизатор ваниль), красители Е129, Е171.;430;11.9;21.7;48.4;Молоко, сыр, яйца;Неизвестно
Сыр Excelsior Truffle с трюфелем 45%;Молоко нормализованное, соль пищевая, краситель пищевой аннато, пюре с Летним трюфелем (Летний трюфель, оливковое масло первого, холодного отжима, соль, натуральный ароматизатор, перец), консервант нитрат натрия, молокосвертывающий ферментный препарат микробного происхождения, смешанные закваски мезофильных и термофильных молочнокислых микроорганизмов. Сырная корка обработана консервантом Е235.;330;25.8;25.2;0;Молоко, сыр, яйца;Неизвестно
Сыр Каприно Романо твёрдый 50% Зелёная Линия;Молоко козье нормализованное пастеризованное, соль пищевая, бактериальная закваска мезо-термофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат микробного происхождения.;371;23.5;30.8;0;Молоко, сыр, яйца;Неизвестно
Сыр Lesuperbe Шале швейцарский 47.6%, 170г;Цельное пастеризованное коровье молоко, соль, термофильная закваска, сычужный фермент (животного происхождения).;356;26;28;0;Молоко, сыр, яйца;Неизвестно
Сыр Casa Margot Роут Хекс 55%, 150г;-;413;23;35;0;Молоко, сыр, яйца;Неизвестно
Сыр Киприно Алтайский Mini 50%;Молоко пастеризованное, бактериальная закваска мезофильных и термофильных молочнокислых микроорганизмов, пропионовокислых бактерий, молокосвертывающий ферментный препарат животного происхождения, соль, ферментный препарат из белка куриных яиц - лизоцим, краситель – аннато.  Перед употреблением снять полимерное покрытие.;375;26;30.1;0;Молоко, сыр, яйца;Неизвестно
Сыр Lamboni Club Lassy с итальянскими травами твердый 50%;Молоко пастеризованное, нормализованное по содержанию жира и белка, соль пищевая, закваска мезофильных молочнокислых культур, молокосвертывающий ферментный препарат животного происхождения, специи (кусочки томата, паприка, чеснок, лук, базилик, тимьян и перец).;353.7;22.5;28.5;0;Молоко, сыр, яйца;Неизвестно
Сыр твёрдый Margot Fromages Le Gruyere нарезка 49%;Пастеризованное молоко, соль, сычужный фермент животного происхождения, термо- и мезофильные бактерии.;396;27;32;0;Молоко, сыр, яйца;Неизвестно
Сыр Pitterina Prato из козьего молока 50%, 200г;Молоко козье натуральное пастеризованное, с использованием закваски, состоящей из мезофильных и термофильных молочнокислых микроорганизмов, молокосвертывающего ферментного препарата микробного происхождения, соль пищевая, уплотнитель хлорид кальция.;385;23.5;29.6;4;Молоко, сыр, яйца;Неизвестно
Сыр Schonfeld Grana со сроком созревания не менее 7 месяцев тертый 43%, 80г;Молоко нормализованное пастеризованное, соль, закваска мезофильных, термофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат животного происхождения.;390;33;29;0;Молоко, сыр, яйца;Неизвестно
Сыр Excelsior Chevre из козьего молока 50%;Молоко козье, молоко обезжиренное, соль поваренная, молокосвертывающий ферментный препарат микробного происхождения, смешанные закваски мезофильных и термофильных молочнокислых микроорганизмов, ферментный препарат животного происхождения Лизоцим. Сырная корка обработана консервантом Е235.;370;31.2;22.2;0;Молоко, сыр, яйца;Неизвестно
Сыр Lamboni Club Lassy с пажитником твердый 50%;Молоко пастеризованное, нормализованное по содержанию жира и белка, соль пищевая, закваска мезофильных молочнокислых культур,  молокосвертывающий ферментный препарат животного происхождения, семена пажитника.;353.7;22.5;28.5;0;Молоко, сыр, яйца;Неизвестно
Сыр Margot Fromages Альпаж Гран Резерв 49%;-;396;27;32;0;Молоко, сыр, яйца;Неизвестно
Сыр Excelsior Sardo 45%;Молоко цельное, молоко обезжиренное, соль пищевая, молокосвертывающий ферментный препарат животного происхождения, смешанные закваски мезофильных и термофильных молочнокислых микроорганизмов, ферментный препарат Лизоцим. Сырная корка обработана консервантом Е235.;307;24.2;23.4;0;Молоко, сыр, яйца;Неизвестно
Сыр Сырная Династия Арамель с пажитником 50%;Молоко нормализованное пастеризованное, закваска - мезофильные и термофильные молочнокислые микроорганизмы, соль (в составе - агент антислёживающий ферроцианид калия), семена пажитника, препарат ферментный молокосвертывающий животного происхождения - сычужный фермент, комплексная пищевая добавка - краситель аннато ( регулятор кислотности -гидроксид натрия, краситель норбиксин), уплотнитель - хлорид кальция, ферментные препараты животного происхождения - лизоцим. липаза.;370;25.4;29.8;0;Молоко, сыр, яйца;Неизвестно
Сыр Киприно Правильный Бутерброд 50%;Молоко пастеризованное, бактериальная закваска мезофильных и термофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат животного происхождения, соль, консервант – нитрат калия, краситель – аннато. Поверхностная обработка консервантом Е235.;358;25.2;28.6;0;Молоко, сыр, яйца;Неизвестно
Сыр твёрдый Мир Вкуса Гроссмейстер 50%;Пастеризованное молоко, соль (содержит агент антислеживающий - ферроцианид калия), уплотнитель - хлорид кальция, консервант - нитрат натрия, ферментный препарат животного происхождения - лизоцим(белок куриных яиц), комплексная пищевая добавка (регулятор кислотности - гидроксид натрия, краситель - норбиксин), закваска мезофильно-термофильных молочнокислых бактерий, ферментный препарат животного происхождения -химозин, пепсин.;355;23.5;29;0;Молоко, сыр, яйца;Неизвестно
Сыр твёрдый Durr 3 50%;Молоко нормализованное, соль, уплотнитель – хлорид кальция, молокосвертывающий ферментный препарат животного происхождения, бактериальная закваска термофильных молочнокислых микроорганизмов, поверхностная микрофлора (культура плесеней Brevibacterium lines, Arthrobacter nicotianae, Geotrichum candidum).;371;23;31;0;Молоко, сыр, яйца;Неизвестно
Сыр сычужный твёрдый Margot Fromages Tete de Moine 51%;Молоко, соль, сычужный фермент животного происхождения.;419;25;35;0.4;Молоко, сыр, яйца;Неизвестно
Сыр Lustenberger Фьор делле альпи 50%;Пастеризованное коровье молоко, соль, термофильная закваска, сычужный фермент (животного происхождения).;426;27;34;0;Молоко, сыр, яйца;Неизвестно
Сыр Cheese Gallery Parmegrino Гойя 40%, 180г;Молоко пастеризованное, соль, уплотнитель хлорид кальция, бактериальная закваска мезофильных и термофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат микробного происхождения.;376;3.1;28;0;Молоко, сыр, яйца;Неизвестно
Сыр Laime ассорти Грюйер Чеддар Швейцарский и Маасдам, 160г;-;357;27;0;31;Молоко, сыр, яйца;Неизвестно
Сыр Le Superbe Швейцарский 49%;Цельное пастеризованное коровье молоко, соль, термофильная закваска, сычужный фермент (животного происхождения).;405;31;30.5;0;Молоко, сыр, яйца;Неизвестно
Сыр твёрдый Excelsior Гауда 45%;Молоко цельное, молоко обезжиренное, соль пищевая, консервант – нитрат натрия, краситель пищевой натуральный аннато, смешанные закваски мезофильных и термофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат животного происхождения.;1277;24.2;23.4;0;Молоко, сыр, яйца;Неизвестно
Сыр LeSuperbe Грюйер 50%;Пастеризованное коровье молоко, соль, термофильная закваска, сычужный фермент (животного происхождения).;398;27;32;0;Молоко, сыр, яйца;Неизвестно
Сыр Lesuperbe Альпийская корова швейцарский 46.9%, 150г;Цельное коровье молоко, соль, термофильная закваска. сычужный фермент (микробиального происхождения). МДЖ 46,9%.;328;23.8;26;0;Молоко, сыр, яйца;Неизвестно
Сыр Le Superbe Грюйер нарезка 50%, 150г;Пастеризованное коровье молоко, соль, термофильная закваска, сычужный фермент (животного происхождения).;398;27;32;0;Молоко, сыр, яйца;Неизвестно
Сыр Мир Вкуса МонДор Grano 50%;Пастеризованное молоко, соль (содержит агент антислеживающий - ферроцианид калия), уплотнитель - хлорид кальция, консервант - нитрат натрия, ферментный препарат животного происхождения - лизоцим(белок куриных яиц), комплексная пищевая добавка (регулятор кислотности - гидроксид натрия, краситель - норбиксин), закваска мезофильно-термофильных молочнокислых бактерий, ферментный препарат животного происхождения -химозин, пепсин.;355;23.5;29;0;Молоко, сыр, яйца;Неизвестно
Сыр Киприно Алтайский Gold 50%;Молоко коровье пастеризованное, молоко козье пастеризованное, бактериальная закваска мезофильных и термофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат животного происхождения, соль, ферментный препарат из белка куриных яиц – лизоцим. Перед употреблением снять полимерное покрытие. Срок созревания 90 суток.;375;26;30.1;0;Молоко, сыр, яйца;Неизвестно
Сыр Гауда выдержанный 40% Маркет, 200г;Молоко цельное пастеризованное, молоко обезжиренное пастеризованное, соль пищевая, бактериальная закваска термофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат животного происхождения, ферментный препарат животного происхождения лизоцим (содержит белок куриных яиц), культура бревибактерий (Вrevibacterium linens). Сыр покрыт несъедобной коркой.;351;31.8;24.9;0;Молоко, сыр, яйца;Неизвестно
Сыр Cheese Gallery Пармезан 32%;Молоко пастеризованное, соль, уплотнитель хлорид кальция, бактериальная закваска мезофильных молочнокислых микроорганизмов, уплотнитель хлорид кальция, молокосвертывающий ферментный препарат животного происхождения, консервант нитрат натрия.;347;36.3;22.4;0;Молоко, сыр, яйца;Неизвестно
Сыр Swiss Peak Чеддер 50%, 200г;Цельное пастеризованное коровье молоко, соль, термофильная закваска, сычужный фермент (животного происхождения).;387;26.5;30.5;0;Молоко, сыр, яйца;Неизвестно
Сыр твёрдый Palermo 40%;Молоко нормализованное пастеризованное, закваска культур молочнокислых микроорганизмов, молокосвёртывающий ферментный препарат микробного происхождения, соль поваренная пищевая, уплотнитель-хлорид кальция, краситель Е141.;327;27.7;24;0;Молоко, сыр, яйца;Неизвестно
Сыр Schonfeld Grana со сроком созревания не менее 7 месяцев 43%, 80г;Молоко нормализованное пастеризованное, соль, закваска мезофильных, термофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат животного происхождения.;390;33;29;0;Молоко, сыр, яйца;Неизвестно
Сыр Schonfeld Grana твёрдый 43%;Молоко коровье пастеризованное, соль, закваска мезофильных, термофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат животного происхождения.;390;29;33;0;Молоко, сыр, яйца;Неизвестно
Сыр La Paulina Чеддер 48%;Пастеризованное молоко, бактериальная закваска мезофильных и термофильных молочнокислых микроорганизмов, уплотнитель хлорид кальция, соль пищевая, молокосвертывающий ферментный препарат микробного происхождения.;382;24;31;1.8;Молоко, сыр, яйца;Неизвестно
Сыр La Paulina Гойя 40%;Пастеризованное коровье молоко, бактериальная культура (мезофильные и термофильные молочные кислоты), соль, хлористый кальций, энзимы, бактериальный фермент (mucor miehei).;390;30;30;1.4;Молоко, сыр, яйца;Неизвестно
Сыр Киприно Швейцарский твёрдый 50%, 200г;Молоко пастеризованное, бактериальная закваска мезофильных и термофильных молочнокислых микроорганизмов, пропионовокислых бактерий, соль пищевая, молокосвертывающий ферментный препарат животного происхождения, уплотнитель - хлорид кальция, консервант – нитрат калия, краситель пищевой - аннато.;390;26.5;31;0;Молоко, сыр, яйца;Неизвестно
Сыр твёрдый Margot Fromages Грюйер 49%, 100г;-;396;25;35;0;Молоко, сыр, яйца;Неизвестно
